places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Panna,madhya-pradesh,Historical,3.7,"Panna is a town situated in the state of Madhya Pradesh and holds a lot of historical significance. A former Gond settlement, Panna is a small city in the heart of the country, which boasts of being the only city with diamond reserves. Panna is also most notably known for the Panna National Park whi...",October to March,2618.45
Sitlamata Falls,madhya-pradesh,Adventure,3.5,"At a distance of 60 kms from the madding crowd of the city of Indore, Sitlamata Falls is located near a village called Manpur. The Waterfalls make a lovely spot for a picnic with a majestic view of the water gushing at a tremendous speed where you can also take a dip in the freezing water once the m...",Throughout the year,3797.06
Jabalpur,madhya-pradesh,Historical,3.5,"Jabalpur is an ancient city located on the shores of river Narmada in Madhya Pradesh. An industrial city, Jabalpur is now gaining popularity as a tourist destination because of its splendid ghats, the 98-foot high Dhuandhar waterfall, marble art, and historical and cultural structures...","March to May, September to November",2238.02
Shivpuri,madhya-pradesh,Historical,3.8,Shivpuri is another legendary city in the state of Madhya Pradesh with immense historical significance because it is around this area where both Hindu and Mughal Emperors ruled for a long time. Shivpuri is a city and a municipality in Shivpuri district in the Indian state of Madhya Pradesh. The city...,October to May,3197.11
Madhai,madhya-pradesh,Adventure,3.0,Madhai is a quaint town located in the state of Madhya Pradesh. Madhai is serene and peaceful because of which this place becomes an ideal holiday destination to get away from the pell mell of the city. The place is rich in biodiversity and the lush greenery that wraps the whole place is mesmerizing...,May to July,3797.06
Mohadi Falls,madhya-pradesh,Adventure,2.0,"The breathtaking sight of water falling from a height is always thrilling, and Mohadi Waterfalls are just the perfect spot where you would take your family to visit for a picnic. Easily accessible, the Waterfall is located at a distance of 30 kms from Indore, it is an idyllic picnic spot if you are ...","April to June, October to December",3797.06
Burhanpur,madhya-pradesh,Historical,2.5,"Burhanpur is a historical town based on the banks of the Tapti River in Madhya Pradesh. The most interesting piece of trivia would be that Mumtaz Begum, the reason why the Taj Mahal was built, died in Burhanpur while giving birth to her fourteenth child. The city was also known as the entry point in...","April to June, October to December",2902.56
Amarkantak,madhya-pradesh,Historical,3.0,"Amarkantak, also known as ""Teerthraj"" (the king of pilgrimages) is located amidst the Vindhya and Satpura mountain ranges in Madhya Pradesh. Situated at an altitude of 1065 meters, Amarkantak is a hill station that offers visitors some of the most exquisite temples that one will ever see. The N...","April to June, October to December",7159.14
Satna,madhya-pradesh,Historical,2.8,"Located in the state of Madhya Pradesh, Satna is known for being one of the largest cement producing city in the world due to the plenty of limestone and dolomite deposits housed in the town. In addition to this, the city is also famous for housing various religious sites.",March to May,2051.98
Udayagiri Caves,madhya-pradesh,Historical,4.2,"'Udayagiri' means the mountain of the sunrise, and is a historical Hindu ritual site home to twenty rock-cut caves near Vidisha, Madhya Pradesh. Otherwise known as 'Vishnu Padagiri' meaning ""the feet of Vishnu"", the Udayagiri Caves are extensively carved with iconographies of Hindu Gods, namely Vish...",October to March,2383.37
Chanderi,madhya-pradesh,Historical,4.2,"Located in the Ashoknagar district of Madhya Pradesh, Chanderi is a city with a rich history that dates back to the 11th century. Surrounded by magnificent hills, forests and beautiful lakes, Chanderi boasts of a kind of scenic beauty which should be experienced by travellers of all sorts. The city ...",Throughout the year,3118.42
Bawangaja,madhya-pradesh,Religious,4.0,"Located in the Bawani district of the southwestern Madhya Pradesh, Bawangaja is a popular Jain pilgrimage site. Situated just in the vicinity of River Narmada, the spot is best known for the world's second-largest megalithic statue of Lord Rishabhadeva which has been carved out of a mountain. The st...",October to March,3229.855
Chhindwara,madhya-pradesh,Historical,4.0,"Nestled in the heart of the mighty Satpura range of hills, Chhindwara is the largest district of Madhya Pradesh. Filled with Chhind or white date palm trees, Chhindwara city has thick plantation surrounding the region along with different tribal communities like Gond, Pradhan Korku and others inhabi...",November to February,3480.75
Hoshangabad,madhya-pradesh,Historical,4.0,"Lying along the banks of river Narmada in Madhya Pradesh, the district of Hoshangabad is a charming tourist destination which is blessed with a mix of natural sightseeing and historical monuments. It has been named after Hoshang Shah, the first ruler of the Malwa Region. Some of the attractions incl...",September to May,3118.42
Bhojpur,madhya-pradesh,Historical,4.3,"The enigmatic temple of Bhojpur is an incomplete Hindu temple situated in the Bhojpur Village of Madhya Pradesh. Dedicated to Lord Shiva, it houses a 7.5 feet high lingam in its sanctum and is believed to have been constructed in the 11th century during the reign of King Bhoja. The te...",October to February,3118.42
Tincha Falls,madhya-pradesh,Adventure,4.1,"Located 25 kilometres from the bustling city of Indore, Tincha Falls are one of the most popular waterfalls in the region. The milky white cascade is located in the Tincha village, also where the falls derive their name from. The roaring plunge of water at a height of 300 feet is a rain fed waterfal...",September to March,3797.06
Churna,madhya-pradesh,Adventure,4.2,"Churna is a quiet village located in the state of Madhya Pradesh. Untouched by industrialization, this is an ideal place to enjoy some peaceful time amidst nature. This place is replete with natural beauty and houses a large number of flora and fauna. Churna with all its scenic beauty and pleasant a...",October to March,3797.06
Bamniya Kund,madhya-pradesh,Adventure,3.7,"Bamniya Kund is a captivating waterfall 50 kms from Indore in Madhya Pradesh. Falling from a height of 300 feet, the waters gush down creating a colourful pool of clear blue waters, brown rocks and verdant green bushes. Nestled away in the depth of dense forests in the Malindi region near Indore, th...",Throughout the year,3797.06
Dharampuri,madhya-pradesh,Historical,4.2,"Dharampuri is a quaint little town filled with historical gems in the Dhar district of Madhya Pradesh set along the banks of river Narmada, was also said to be the birthplace and abode of Narmada’s daughter Roopmati who married the ruler of Mandu; Baz Bahadur. The town was established by the oldest ...",October to June,3118.42
Choral Dam,madhya-pradesh,Adventure,4.2,"If you are tired of the pell mell of the daily life and want to go away to unwind and relax, Choral Dam is just the place for you. Located in the state of Madhya Pradesh, Choral Dam is a hidden gem that will definitely provide you with quietness and tranquility. Constructed around the backwaters of ...",November to March,3797.06
Janapav,madhya-pradesh,Adventure,3.7,"Nestled among similar hills of the Malwa region, Janapav or Janapav Kuti is the ideal getaway for lovers of nature and trekkers alike. If you’re looking to traverse through twisty bends in Central Indian forests while peacefully gazing over distant hills and the crimson sunset, this hill station sho...",October to March,3797.06
Hatyari Khoh,madhya-pradesh,Adventure,2.0,"You might be thinking why would someone want to visit a place to relax with such a lurid name. But Hatyari Khoh is anything but uncanny. Rather it is the most beautiful place you can visit to getaway from the hustle bustle of the city. Located in the state of Madhya Pradesh,, Hatyari Khoh with fasci...",October to May,3797.06
Imphal,manipur,Historical,3.4,"Imphal has a untouched charm surrounding its natural beauty, sceneries and landscapes as well as a significant history leaving hints of the past around the city.",October - March,2875.73
Thoubal,manipur,Historical,4.3,"A well developed city, Thoubal is a good holiday destination for those looking for a pleasant climate and numerous activities.",October to February,3118.42
Tamenglong,manipur,Historical,4.5,This hilly region is an ideal setting for tourists interested in outdoor holidays. The beauty of this town is unparalleled with the unusual varieties of flora and fauna.,December to June,3118.42
Chandel,manipur,Historical,3.1,"Chandel, also known as Lamka is tiny, but a scenic district in the North-Eastern state of Manipur. It is one of the main nine districts in the state and also the second least populous of all. Situated along the lines of the international border separating India and Myanmar, it has come to be kn...",October to March,3118.42
Loktak Lake and Sendra Island,manipur,Adventure,4.1,"The largest fresh water lake in the country, Loktak Lake and the Sendra Island on it, are one of the most beautiful attractions of the state. Situated about 50 km from Imphal, Loktak Lake is situated in the valley of Imphal and is home to all the rivers and rivulets that run in the state of Manipur.",October to March,3797.06
Moirang,manipur,Historical,3.0,Moirang is a small town nestled in the state of Manipur. This place has seen wars and upheavals in the past but is beautiful nonetheless. Moirang is famous for the Loktak Lake whose serene water is home to plethora of flora and fauna. This place is perfect for a weekend getaway to unwind and relax. ...,October to March,3118.42
Shillong,meghalaya,Historical,3.4,"Nestled amidst the pine-clad hills, Shillong, the capital of Meghalaya, unfolds like a picturesque canvas at an elevation of 1496 meters. Revered as the 'Scotland of the East,' the city offers a delightful blend of captivating landscapes, pleasant weather, and rich traditions. Shillong derives its n...",October to February,3338.49
Cherrapunji,meghalaya,Adventure,3.5,"Nestled amidst the misty hills of Meghalaya, Cherrapunji was once renowned as the wettest place on Earth. Located approximately 50 kilometers from Shillong, this sub-divisional town boasts a rich tapestry of flora and natural wonders. Although Mawsynram now holds the title of the wettest place, Cher...",October to March,3797.06
Dawki,meghalaya,Adventure,5.0,"Dawki, nestled in the Jaintia Hills district of Meghalaya, India, has emerged as a sought-after destination for adventurers craving untouched landscapes. Renowned for its surreal scenery, the town boasts the mesmerizing Umngot River, celebrated for its crystal-clear waters that afford a view of the ...",October to March,3797.06
Mawsynram,meghalaya,Adventure,3.8,"Mawsynram, situated in the East Khasi Hills district of Meghalaya, holds the distinction of being the wettest place on Earth. With its breathtaking landscapes and record-breaking rainfall, Mawsynram offers a unique destination for adventurous travelers.  Located approximately 65 kilometers from...",November to February,3312.9
Double Decker Living Root Bridge,meghalaya,Adventure,5.0,"Hidden deep in the lush, green forests of the wettest place in India: Cherrapunjee, Meghalaya; one can find the magnificent Jingkieng Nongriat Double Decker Living Root Bridge; more commonly known as the Umshiang Double Decker Living Root Bridge or simply just the Double Decker Root Bridge.  Th...",November to February,3797.06
Mawsmai Nongthymmai Eco Park,meghalaya,Adventure,4.4,"Nestled amidst the verdant landscapes of Cherrapunji, Mawsmai Nongthymmai Eco Park stands as a serene haven for nature lovers. Renowned for its mesmerizing limestone formations and lush greenery, the park offers visitors a tranquil retreat away from the hustle and bustle of city life. The highlight ...",November to March,3797.06
Elephant Falls,meghalaya,Adventure,3.0,"Named after an Elephant like stone at its foot, the Elephant Falls are amongst the most popular falls in the North-East, situated next to Shillong. It is a tourists' paradise with three layers of the falls accessible to the layman from different vantage points. The Britishers named this fall so...",October to January,3797.06
Trekking in Meghalaya,meghalaya,Adventure,4.2,"Owing to its beauty, the British nicknamed it Scotland of the East. Trekking in Meghalaya is the best way to explore the place. Trekking across wonders like Shillong, Mawphlang, Cherrapunjee, among others is a soothing and soulful experience you shouldn't miss. Here's an ultimate guide to treks in M...",October to March,3797.06
Umiam Lake,meghalaya,Adventure,3.0,"Umiam Lake, a mesmerizing man-made reservoir, is located at a distance of 15 kilometres north of Shillong which is the capital of the north-eastern Indian state of Meghalaya. The lake was formed after a dam was constructed to generate hydroelectric power. The scenic Umiam Lake is encircled by lush g...",November to February,3797.06
Umngot River,meghalaya,Adventure,4.0,"The Umngot River, also referred to as the Dawki River or Wah Umngot, gracefully winds its way through the quaint town of Dawki, nestled at the base of the Jaintia Hills in the West Jaintia Hills district of Meghalaya, India. Renowned for its unparalleled clarity and transparent waters, the Umngot Ri...",August to February,3797.06
Balpakram National Park,meghalaya,Adventure,4.5,"Located in the southern Garo Hills in Meghalaya, about 167 Kms from Tura, Balpakram National Park lies at an elevation of about 3,000 feet above the sea level. The Park is a famous national park which is well known for its pristine beauty. The word Balpakram means the 'land of perpetual winds', and ...",July to March,3797.06
Mawphlang,meghalaya,Adventure,3.7,"Mawphlang, home to Meghalaya's Sacred Forest, is a beautiful village situated 25 kilometres away from Shillong, the capital city of the north-east Indian state of Meghalaya. The village lies in the district of East Khasi Hills and is famous for its sacred groves. The village is named Mawphlang as it...",January to February,3797.06
Williamnagar,meghalaya,Historical,2.5,"Williamnagar, located 244 Kms from Shillong, was formed around the former town of Simsanggre, which is based on the large plains of the Simsang River. A very remote area usually known for its abundance of natural beauty i.e. being flanked by the mountains and having a rich composition of both water ...",Throughout the year,3118.42
Mawlyngbna,meghalaya,Adventure,4.0,"Mawlyngbna, a village situated just a few picturesque kilometers south of Mawsynram, shares its hilltop with three others, offering mesmerizing views of the rolling Khasi hills blending into the plains of Bangladesh. This rain-blessed village, known for its warm and welcoming locals, has gained popu...",October - March,3797.06
Mawlynnong,meghalaya,Historical,4.4,"Mawlynnong is a small village situated around 90 km from Shillong in the East Khasi Hills, Meghalaya and is also known as God's own Garden. It was declared as the cleanest village in Asia in 2003 by Discovery India which certainly which makes it one of the most popular tourist destinations in the In...",November to February,3118.42
Nongpoh,meghalaya,Historical,4.4,"Nongpoh, located 60 Kms from Guwahati in Assam and 51 Kms from Shillong is a petite town to be found to the North of the East Khasi Hills. Situated very close to the gorgeous Brahmaputra plains, this location is quite a favourite as a stopover before reaching Shillong from Guwahati.",December to February,2462.54
Nohkalikai Waterfalls,meghalaya,Adventure,4.3,"The fourth highest waterfalls in the world, Nohkalikai falls plunge some 335 meters from a verdant cliff to the ground giving the portrayal of immense and natural magnificence. The pride of the state of Meghalaya, the falls are one of the most beautiful and grand waterfalls in the country. Tucked in...",June to September,3797.06
Krang Suri Falls,meghalaya,Adventure,4.2,"Krang Suri Waterfall, nestled amidst the mountains of Meghalaya, is renowned for its breathtaking beauty and tranquil ambiance. Situated near Jowai, this natural wonder captivates visitors with its crystal-clear turquoise waters cascading down rugged cliffs, framed by lush greenery. The journey to t...",March-June; August-December,3797.06
Tura,meghalaya,Historical,4.3,"Located in the western part of Meghalaya, as the administrative headquarters of the West Garo Hills district, Tura is an eco-tourist hub of the state. It is located 311 Kms from Shillong and 219 Kms from Guwahati in Assam. As opposed to Shillong, which is growing highly multi-cultural, Tura is relat...",November-March,2531.8
Meghalaya State Museum,meghalaya,Historical,4.5,"Capt. Williamson Sangma State Museum, also known as the Meghalaya State Museum, stands as a testament to the rich cultural tapestry of Meghalaya's tribes, specifically the Khasi, Jaintia, and Garo communities. Established in 1975 and named after the pioneering Captain Williamson Sangma, the museum s...",July to October,3118.42
Jowai,meghalaya,Historical,4.3,"Located in the Jaintia Hills district, Jowai located at a distance of 66 Kms from Shillong, is famous for its bucolic setting and breathtaking views with the perfect mix of heritage and culture. Jowai, much like Cherrapunji prides itself in being a destination much loved for a scenic drive...",July-March,2933.21
Mawjymbuin Cave,meghalaya,Adventure,4.0,"Mawjymbuin Cave is situated in Mawjymbuin village in Mawsynram (the wettest place on earth) in Cherrapunji and is a religiously significant site. Made of calcareous sandstones and having numerous stalagmites (formed as a result of calcium carbonate depositions, weathering and dripping of mineral enr...",October to February,3797.06
Kyllang Rock,meghalaya,Adventure,3.8,"Some 78 km away from Shillong, a unique giant rock made out of red granite, Kyllang Rock is a giant dome placed in the West Khasi Hills of Meghalaya. The Rock which is 5400 ft above sea level and has a width of around 1000 ft is a mammoth block of granite which is part of the Khasi folklore and seem...",December to March,3797.06
Nohsngithiang Falls,meghalaya,Adventure,4.1,"The Nohsngithiang Falls, located at a distance of about 4km from Cherrapunjee, is one of the tallest waterfalls in India and a major tourist spot in Cherrapunjee. Since it is situated in the Mawsmai village of the East Khasi Hills District of Meghalaya, it is also known as Mawsmai Falls. The Nohsngi...",Throughout the year,3797.06
Mawphlang Sacred Forest,meghalaya,Adventure,4.2,"The Mawphlang Sacred Forest, nestled in the East Khasi Hills district of Meghalaya, India, is a revered site steeped in history and spirituality. Spread across approximately 78 hectares, this ancient forest is considered one of the most sacred groves in the region, serving as a sanctuary for indigen...",October to June,3797.06
Baghmara,meghalaya,Historical,4.1,"Situated 287 kms south of Shillong at the Indo-Bangladesh Border, Baghmara is not only rich in flora and fauna but also boasts many small lakes, rivers and rolling hills. Flanked by the South Garo hills and fed by the Simsang river, this minute town is host to hordes of tourists every year. The Balp...",October to Apr,3118.42
Mawsmai Cave,meghalaya,Adventure,3.5,Meghalaya is home to some amazing and mysterious cave systems and Mawsmai Cave is by far the most popular of the lot. Located just 6 km away from the heart of Cherrapunjee Mawsmai cave is a breathtaking maze of caves in the East Khasi Hills of Meghalaya. The well lit caves are a view to behold when ...,September to March,3797.06
Laitlum Canyons Trek,meghalaya,Adventure,3.6,"Perched on the East Khasi Hills, Laitlum Canyons is a less explored but one of the most picturesque tourist and trekking destinations in Shillong. The canyons are located about 21 Kms south of Shillong which is about a half-hour drive away. Literally, translating to 'End of hills', this exotic viewi...",October to March,3797.06
Jaintia HIlls,meghalaya,Historical,4.0,"Part of the former Jaintia Kingdom, the Jaintia Hills is a land of majestic hills filled with rich natural vegetation and mineral deposits. It is situated in Meghalaya and is part of the Patkai hill range that extends across the Indo-Myanmar borders. A relatively smaller hill district as compared to...",October to March,3118.42
Garo Hills,meghalaya,Historical,3.0,"Nestled near the Indo-Bangladesh Border, the Garo Hills form a majestic segment of the Patkai hill range, extending into both India and Myanmar. Named after the indigenous Garo tribe, these hills cover approximately 8,000 square kilometers, boasting lush subtropical forests teeming with rare endemic...",September to Apr,3118.42
Khasi Hills,meghalaya,Historical,4.8,"Named after the Khasi tribe of Meghalaya, the Khasi Hills form part of the Garo-Khasi range and are a component of the broader Patkai hill range, spanning the Indo-Myanmar border in India's northeast. Characterized by deep valleys and pointed peaks, these hills are renowned for hosting the Sohra or ...",September to Apr,3118.42
Kynrem Falls,meghalaya,Adventure,4.6,"Located approximately 12 kilometers from Cherrapunji in Meghalaya's East Khasi Hills district, Kynrem Falls stands as the pride of Thangkharang Park. As the 7th highest waterfall in Meghalaya, it commands attention with its three-tiered cascades, plummeting from a staggering height of 305 meters. Th...",November to March,3797.06
Shillong Peak,meghalaya,Adventure,5.0,"At the height of 6449 ft or 1965 m above sea level, Shillong Peak is the highest point of Shillong. It offers a breathtaking panoramic view of the entire city, the Himalayas, its waterfalls as well as of the Bangladesh plains. A telescope is available for tourists to get a bird's eye view. Trekking ...",November to February,3797.06
Aizawl,mizoram,Historical,5.0,"Lying at a height of 1132 m above sea level, Aizawl is a quaint city and the capital of the state of Mizoram in northeast India. Primarily dominated by the Mizo Tribe, Aizawl and its surrounding areas are lush with rolling hills and abundant greenery. The city, along with the majority of the state i...",November to February,3332.76
Serchhip,mizoram,Historical,5.0,"Most famous for being the district with the highest literacy rate in India, Serchhip in Mizoram is a place that can provide you a unique and vibrant experience.",October to March,3118.42
Lunglei,mizoram,Historical,4.0,"Literally meaning 'the bridge of rock', Lunglei is famous for its scenic beauty and natural setting. It is a small town, located around 170 km south of Aizawl whose name is derived from a bridge shaped rock found along Nghasih which is a tributary of the river Tlawng. Lunglei is an ideal offbeat des...",Late Oct- early Feb,3118.42
Champhai,mizoram,Historical,3.0,The town of Champhai on the eastern border of Mizoram close to the Indo-Myanmar border is the administrative headquarters of the Champhai district. It is located at a distance of 188 Kms from the capital of Aizawl and is strategically and commercially important for the state of Mizoram as well as fo...,October to March,3839.07
Mamit,mizoram,Historical,4.7,"The Mamit district is the fourth largest district of the state of Mizoram. The town of Mamit, the administrative headquarters of the district, is located around 95 kms from Aizawl to the west. Known for its exquisite scenic locales and magnificence, don't miss out to add this place in your itinerary...",October to March,3118.42
Saiha,mizoram,Historical,3.4,"Saiha is known as the fastest growing town in Mizoram, as the population has significantly risen in the last decade. Saiha is a census town in the Saiha district in Mizoram located at an average height of 729 meters above sea level. This town is considered to be a haven for angling enthusiasts.",October to March,3118.42
Kolasib,mizoram,Historical,4.2,"Among the newer districts and the smallest of the eleven in Mizoram, Kolasib lies in northern Mizoram sharing a border with the Cachar district of Assam. It lies at a distance of 79 Kms north of Aizawl. Like most other districts of Mizoram, Kolasib is bountiful in culture and natural beauty. Tlawng ...",October to March,3118.42
Reiek,mizoram,Adventure,3.0,"At a height of 1465 meters, Reiek Tlang or simply Reiek is one of the highest hills of Mizoram. Located at a distance of 29 km away from the city of Aizawl, Reiek Tlang is an excellent viewpoint overlooking panoramic views of Aizawl and the surrounding valley with the backdrop of sceneries borrowed ...",October to March,3797.06
Vantawng Falls,mizoram,Adventure,3.7,"The highest waterfall in the state and the 13th highest in the country, the Vantawng Waterfalls is one of he most mesmerizing waterfalls of the North East. Vantawng falls are the pride of Mizoram and one of its prime attractions. The waterfall which is located 137 km away from the capital city of Ai...",October to March,3797.06
Hmuifang,mizoram,Adventure,4.0,"One of the most beautiful destinations in Mizoram, Hmuifang or Hmuifang Tlang is an amazing hill station with a lot to offer to the discerning traveller. Located a distance of 50 km from the capital city of Aizawl, Hmuifang is hill town at the heart of the state of Mizoram. The hill station is known...",October to March,3797.06
Dampa Tiger Reserve,mizoram,Adventure,3.5,"Dampa Tiger Reserve, a splendid Wildlife Sanctuary, is located amidst the deep and dense forests of Mizoram in India. The forests are located about 125 kilometres from Aizawl and are rich with a variety of flora and fauna that draw tourists and nature lovers to the North-eastern state of India from ...",October to March,3797.06
Tamdil (Tam Lake),mizoram,Adventure,2.5,"The largest lake in the state of Mizoram, Tamdil Lake is a human-made lake exclusively to serve as a natural attraction for the state's tourism. Tamdil Lake, which translates into 'Lake of Mustard ' in Mizo, is a beautiful lake with the magnificent landscape, clear, blue water and serene environment...",October to March,3797.06
Falkawn Village,mizoram,Historical,4.4,"A model village depicting the lifestyle of the Mizo people, Falkawn village is a unique cultural extravaganza for first time visitors to Mizoram. Falkawn village depicts the livelihoods and cultures of the Mizo people, who form the biggest tribe of the state. Located 22 km away from the capital city...",July to March,3118.42
Phawngpui Peak,mizoram,Adventure,4.3,"The highest point in the state, Phawngpui Peak is a revered mountain among the tribes of the state. The beautiful blue mountain located some 300 km south of Aizawl is a wonderful place to be and to bring out the adventure enthusiast in you. The peak is located within the Phawngpui National Park and ...",October to March,3797.06
Phawngpui,mizoram,Adventure,4.2,"Phawngpui is a quaint and serene village located in the state of Mizoram. Situated at an elevation of 2157 meters, this place proffers picturesque views. This place is surrounded by verdant trees and lofty mountains which in magnifying the beauty of the landscape. The place does not only have verdan...",December to Apr,3797.06
Phawngpui National Park,mizoram,Cultural,4.2,"The Phawngpui Blue Mountain National Park or simply Phawngpui National Park is a gorgeous conservatory forest in Mizoram housing several rare animals and birds, adorned in tropical forests. The park overlooks rivers and mountain ranges further adding to its natural beauty and attractiveness. It also...",November to March,7279.88
Kohima,nagaland,Historical,4.0,"Kohima is the hilly capital of Nagaland, which is one of the seven sister states of India. ‘Kohima’ is the anglicized name given by the British, the original name being 'Kewhira' derived from the Kewhi flowers found in the region. Famous for its ethereal environment and untouched beauty, it is a lan...",November to March,3095.26
Mokokchung,nagaland,Historical,3.9,The most significant urban centre in all of Nagaland after Dimapur and Kohima and the home of Ao Naga.,October to March,3118.42
Dimapur,nagaland,Historical,3.9,"Known to be the largest and fastest growing city of Nagaland, most travellers come to this city in transit because of the airport situated in the city. Some of the few attractions here are: Triple Falls, Kachari Ruins, the Nagaland science center and the zoological park.","September to December, February to March",3199.08
Tuensang,nagaland,Historical,3.8,"Tuensang is the headquarters of the Tuensang district, the easternmost, largest district of Nagaland, and flanked by Myanmar on its right side. It is one of the largest urban centres in Nagaland along with Dimapur, Kohima and Mokokchung, making it a top tourist destination in the state of Nagaland.",October-March,3118.42
Phek,nagaland,Historical,4.1,"Phek is a hilly area rich in flora and fauna. Apart from the spell bounding hills, Shilloi lake is an important attraction.",November to February,3118.42
Mon,nagaland,Historical,3.6,"Home of the Konyaks nagas, Mon provides tourists with a unique and quite mesmerizing view of tattooed faces wearing feathery loincloths. The District, with the exception of the foothills, has a difficult terrain with steep slopes. Even though Mon doesn't have a lot of sightseeing points, but it...","October to December, February to March",3118.42
Dzukou Valley and Japfu Peak,nagaland,Adventure,4.5,"Located some 25 km south of Kohima, Dzukou valley and Japfu Peak offer one of the most breathtaking landscapes of the continent. Nagaland is called the 'Switzerland of the East' and Dzukou valley and Japfu Peak provide solid proof to that moniker. Dzukou valley and Japfu Peak trek is an absolute mus...",October - March,3797.06
Touphema Village,nagaland,Historical,3.1,"On a green and verdant hillock, lies the township called Touphema Village. Built by the local community in partnership with the Tourism Department of Nagaland, Touphema Village is a collection of small huts built and decorated in traditional Naga design sensibilities. The village intends on giving t...",October to February,3118.42
Khonoma Village,nagaland,Historical,3.9,"A town belonging to the 'Angami Naga' ethnic group of Nagaland, Khonoma Village is a one-of-its-kind project in the country. Located about 20 km from the state capital of Kohima, Khonoma village is a Green Village, where all forms of hunting have been abolished for a more sustainable ecosystem. It i...",October to March,3118.42
Shilloi Lake,nagaland,Adventure,4.2,"A beautiful foot shaped lake in the heart of the Patkai range of Nagaland, Shilloi Lake is a very picturesque destination with verdant valley surrounding it from all sides. The lake is considered very important by the folks of Latsum village as it is believed that the spirit of a holy child rests in...",October to March,3797.06
Naga Heritage Village,nagaland,Historical,4.2,"A village situated in the outskirts of Kohima, Naga Heritage Village in Kisama seeks to preserve and promote the culture and traditions of the Naga people. The name Kisama itself is an amalgamation of two Naga villages, namely, Kigwema (KI) and Phesama(SA) and MA (Village).",November to February,3118.42
Hornbill Festival,nagaland,Historical,4.2,"Nagaland is known as the 'Land of Festivals' and one such grand carnival, organized by the State Tourism of Arts and Culture Department, Government of Nagaland is 'Hornbill festival'. Also known as ''Festival of Festivals"", this is a commonly celebrated being a traditional cluste...",October to March,3118.42
Pfutsero,nagaland,Historical,4.2,"Pfutsero is a small town known for being the coldest inhabited town of Nagaland, dropping below -0°C. At 2,133m amsl, it boasts of highest altitude among towns in Nagaland, Glory Peak being the highest point. The lakes in Pfutsero freeze during winters, adding to the Christmas spirit, a revered fest...",September to November,3118.42
Bhubaneswar,odisha,Historical,4.4,"Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",March to May,3666.51
Konark,odisha,Historical,4.1,"Konark, in the state of Orissa is renowned world over for the Sun Temple which is also a UNESCO World Heritage Site, the Annual dance festival and its beautiful sandy beaches.",September to March,3435.81
Chilika Lake,odisha,Adventure,4.0,"Chilika Lake is the largest internal salt water lake in Asia, it is a paradise on earth for bird watchers and nature lovers. The pear-shaped lake is dotted with a few small islands and has fisheries and salt pans around its shore. The Chilika Lake also houses the most accommodating ecosystems in the...",Throughout the year,3797.06
Cuttack,odisha,Historical,3.6,"Referred to as the cultural capital of Odisha, Cuttack is a commercial city with plenty of impressive tourist attractions.",December - February,1205.3
Gopalpur,odisha,Beach,4.2,"In the southern coastline of Odisha just 15 km from the city of Behrampur is located a quaint, tiny town of Gopalpur which was a sea port, bustling with trade and commerce, in the Colonial Era.",Throughout the year,3509.44
Hirakud Dam,odisha,Adventure,3.5,"Constructed across the Mahanadi River in Sambalpur, Odisha the Hirakud Dam is hailed as the longest human-made dams in India. Astonishingly, it is over 56km long and is the top pick among the locals as well as tourists to enjoy a refreshing day out. This marvellous piece of architecture construction...",Throughout the year,3797.06
Bhitarkanika National Park,odisha,Adventure,4.4,"Bhitarkanika National Park in Odisha, India is a paradise for nature lovers. It is home to some of the most spectacular flora and fauna, and is a great spot for bird and wildlife watching. Located in the Kendrapara district of Odisha, Bhitarkanika is known for its mangrove forests, which are home to...",September to June,3797.06
Satkosia Tiger Reserve,odisha,Adventure,4.2,"The picturesque town of Satkosia, 160 km from Bhubaneswar, boasts of a wildlife sanctuary popularly known as the Satkosia Tiger Reserve since 1976. The sanctuary is home to tigers in the moist, deciduous forests of the Eastern Ghats. It is also home to elephants, birds and other animals that can be ...",Throughout the year,3797.06
Daringbadi,odisha,Adventure,3.7,"Daringbadi is a hilly town in Odisha. Hidden a state famous for beaches and temples, this hill station lies peacefully at an elevation of 3000 feet waiting to be explored. Replete with pine trees, coffee gardens and splendid valleys, Daringbadi is known as the “Kashmir of Odisha”. A place where you ...",Mid October to Mid June,7479.0
Tikarpada Wildlife Sanctuary,odisha,Adventure,4.2,"The Tikarpada Wildlife Sanctuary spreads across 795.52 square kilometers and does not fail to enthrall its visitors with its overwhelming beauty, lush green surrounding, the ever cherished rambling of River Mahanadi besides the very famous Satkosia gorge and large variety of species of wild animals,...","May - June, September - October",3797.06
Sambalpur,odisha,Historical,3.7,"Sambalpur is the gateway to the western zone of Orissa. It abounds in prolific rivers, lavish hills, lush green forests and affluent wildlife. It is a beautiful amalgamation of modernity and culture. Holding a significant historical importance, the place also has a flourishing textile and handloom i...",Throughout the year,7125.37
Chandipur,odisha,Beach,4.6,"Chandipur is a secluded seaside village of Baleshwar district stored safely on the coastline of Orissa. Chandipur is also locally known as Chandipur-on-sea. If nature's wonder fascinates you, Chandipur Beach is an amazing place to be.",October to June,3474.9
